#MODEL NO, nViolations (if distances<=2.75) 
2000, 168
2001, 192
2002, 136
2003, 96
2004, 178
2005, 161
2006, 28
2007, 26
2008, 139
2009, 92
2010, 153
2011, 22
2012, 18
2013, 147
2014, 214
2015, 182
2016, 190
2017, 141
2018, 165
2019, 188
2020, 201
2021, 171
2022, 131
2023, 74
2024, 64
2025, 124
2026, 221
2027, 201
2028, 63
2029, 100
2030, 26
2031, 46
2032, 34
2033, 95
2034, 26
2035, 14
2036, 44
2037, 193
2038, 178
2039, 157
2040, 117
2041, 200
2042, 98
2043, 178
2044, 210
2045, 59
2046, 42
2047, 48
2048, 33
2049, 141
2050, 122
2051, 100
2052, 11
2053, 105
2054, 86
2055, 70
2056, 83
2057, 51
2058, 45
2059, 80
2060, 97
2061, 47
2062, 104
2063, 175
2064, 144
2065, 137
2066, 149
2067, 240
2068, 128
2069, 9
2070, 18
2071, 20
2072, 27
2073, 24
2074, 39
2075, 12
2076, 148
2077, 120
2078, 16
2079, 82
2080, 201
2081, 70
2082, 202
2083, 134
2084, 15
2085, 25
2086, 51
2087, 29
2088, 210
2089, 209
2090, 16
2091, 6
2092, 82
2093, 39
2094, 194
2095, 34
2096, 128
2097, 149
2098, 89
2099, 136
2100, 17
2101, 128
2102, 32
2103, 102
2104, 144
2105, 74
2106, 196
2107, 88
2108, 123
2109, 120
2110, 179
2111, 164
2112, 84
2113, 201
2114, 188
2115, 63
2116, 6
2117, 13
2118, 35
2119, 69
2120, 195
2121, 33
2122, 40
2123, 141
2124, 69
2125, 188
2126, 24
2127, 129
2128, 219
2129, 187
2130, 154
2131, 190
2132, 193
2133, 185
2134, 179
2135, 187
2136, 177
2137, 188
2138, 198
2139, 132
2140, 160
2141, 116
2142, 27
2143, 175
2144, 83
2145, 100
2146, 121
2147, 189
2148, 160
2149, 54
2150, 179
2151, 172
2152, 194
2153, 75
2154, 220
2155, 184
2156, 217
2157, 216
2158, 232
2159, 223
2160, 223
2161, 225
2162, 44
2163, 23
2164, 35
2165, 35
2166, 102
2167, 14
2168, 13
2169, 102
2170, 28
2171, 95
2172, 148
2173, 201
2174, 180
2175, 187
2176, 176
2177, 165
2178, 137
2179, 88
2180, 25
2181, 38
2182, 40
2183, 14
2184, 7
2185, 12
2186, 22
2187, 16
2188, 35
2189, 157
2190, 26
2191, 51
2192, 32
2193, 191
2194, 183
2195, 225
2196, 202
2197, 14
2198, 59
2199, 37
2200, 14
2201, 157
2202, 98
2203, 66
2204, 80
2205, 102
2206, 93
2207, 14
2208, 15
2209, 141
2210, 56
2211, 36
2212, 161
2213, 120
2214, 55
2215, 66
2216, 32
2217, 190
2218, 203
2219, 149
2220, 154
2221, 152
2222, 155
2223, 161
2224, 158
2225, 71
2226, 54
2227, 74
2228, 171
2229, 101
2230, 90
2231, 73
2232, 45
2233, 123
2234, 123
2235, 94
2236, 113
2237, 60
2238, 39
2239, 98
2240, 3
2241, 11
2242, 13
2243, 28
2244, 17
2245, 41
2246, 35
2247, 14
2248, 38
2249, 17
2250, 15
2251, 26
2252, 204
2253, 199
2254, 11
2255, 25
2256, 37
2257, 86
2258, 141
2259, 166
2260, 26
2261, 43
2262, 154
2263, 151
2264, 38
2265, 19
2266, 150
2267, 133
2268, 102
2269, 124
2270, 27
2271, 4
2272, 5
2273, 0
2274, 3
2275, 3
2276, 6
2277, 6
2278, 8
2279, 141
2280, 158
2281, 169
2282, 207
2283, 201
2284, 175
2285, 197
2286, 216
2287, 28
2288, 42
2289, 48
2290, 32
2291, 207
2292, 25
2293, 192
2294, 169
2295, 175
2296, 170
2297, 101
2298, 178
2299, 122
2300, 199
2301, 202
2302, 180
2303, 6
2304, 151
2305, 178
2306, 193
2307, 20
2308, 31
2309, 204
2310, 56
2311, 35
2312, 36
2313, 74
2314, 16
2315, 15
2316, 69
2317, 75
2318, 215
2319, 30
2320, 11
2321, 19
2322, 168
2323, 104
2324, 168
2325, 170
2326, 24
2327, 46
2328, 103
2329, 145
2330, 85
2331, 68
2332, 58
2333, 37
2334, 111
2335, 135
2336, 3
2337, 4
2338, 125
2339, 115
2340, 120
2341, 39
2342, 99
2343, 24
2344, 4
2345, 24
2346, 50
2347, 49
2348, 167
2349, 100
2350, 156
2351, 202
2352, 30
2353, 58
2354, 70
2355, 169
2356, 139
2357, 119
2358, 180
2359, 166
2360, 94
2361, 53
2362, 40
2363, 33
2364, 126
2365, 28
2366, 78
2367, 60
2368, 202
2369, 17
2370, 85
2371, 138
2372, 130
2373, 65
2374, 87
2375, 166
2376, 82
2377, 139
2378, 37
2379, 23
2380, 57
2381, 54
2382, 21
2383, 101
2384, 15
2385, 189
2386, 151
2387, 113
2388, 76
2389, 203
2390, 243
2391, 86
2392, 46
2393, 111
2394, 34
2395, 29
2396, 169
2397, 164
2398, 197
2399, 88
2400, 25
2401, 37
2402, 37
2403, 37
2404, 155
2405, 18
2406, 26
2407, 43
2408, 20
2409, 25
2410, 65
2411, 51
2412, 78
2413, 123
2414, 32
2415, 168
2416, 17
2417, 17
2418, 4
2419, 10
2420, 129
2421, 220
2422, 176
2423, 85
2424, 65
2425, 140
2426, 55
2427, 188
2428, 116
2429, 31
2430, 20
2431, 132
2432, 64
2433, 90
2434, 40
2435, 173
2436, 192
2437, 118
2438, 161
2439, 35
2440, 8
2441, 3
2442, 25
2443, 88
2444, 110
2445, 136
2446, 264
2447, 134
2448, 131
2449, 152
2450, 128
2451, 46
2452, 190
2453, 122
2454, 53
2455, 24
2456, 7
2457, 6
2458, 15
2459, 161
2460, 216
2461, 168
2462, 181
2463, 124
2464, 42
2465, 217
2466, 56
2467, 44
2468, 50
2469, 175
2470, 224
2471, 188
2472, 16
2473, 175
2474, 91
2475, 144
2476, 105
2477, 130
2478, 144
2479, 94
2480, 108
2481, 123
2482, 56
